10 1920 1.4
20 3535 1.05
30 5226 1.0
40 7112 1.075
50 8930 1.08
60 10760 1.0833333333333333
70 12584 1.1
80 14606 1.175
90 16441 1.1888888888888889
100 18397 1.23
110 19908 1.14
120 21863 1.22
130 23495 1.2
140 25124 1.14
150 27103 1.2
160 29039 1.24
170 30766 1.23
180 32404 1.12
190 34245 1.12
200 35850 1.03
210 37613 1.11
220 39227 1.04
230 40852 1.09
240 42566 1.12
250 44334 1.06
260 46181 1.03
270 47769 0.99
280 49607 1.06
290 51415 1.05
300 53140 1.08
310 55062 1.1
320 57067 1.18
330 58789 1.15
340 60545 1.16
350 62320 1.17
360 64244 1.21
370 65920 1.21
380 67737 1.21
390 69456 1.2
400 71214 1.21
410 73235 1.23
420 74991 1.18
430 76878 1.22
440 78628 1.22
450 80463 1.2
460 81946 1.07
470 83844 1.12
480 85793 1.13
490 87666 1.17
